frame,person_id,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf
1,0,434,279,0.9682161211967468,422,277,0.9952226281166077,431,327,0.9853696823120117,424,328,0.9954224228858948
2,0,433,280,0.9712074398994446,423,278,0.9943004846572876,432,326,0.9867353439331055,425,327,0.9951242804527283
3,0,435,279,0.978186309337616,421,277,0.9922289252281189,434,326,0.9906643629074097,425,327,0.995093822479248
4,0,439,280,0.9595480561256409,421,277,0.9928553700447083,436,326,0.9871886372566223,425,327,0.9954954385757446
5,0,441,281,0.9776681661605835,421,278,0.9947417974472046,436,327,0.9898899793624878,425,327,0.9956769347190857
6,0,442,280,0.9773897528648376,421,279,0.9939154982566833,437,326,0.9912500381469727,425,327,0.9959203004837036
7,0,442,280,0.9774496555328369,421,278,0.9937147498130798,438,327,0.9913832545280457,425,327,0.995908260345459
8,0,444,281,0.9860444068908691,420,278,0.9943800568580627,439,328,0.9931566119194031,424,328,0.9959191679954529
9,0,445,281,0.9884045124053955,419,279,0.9940881729125977,439,328,0.9944455623626709,424,328,0.9962164759635925
10,0,445,281,0.9914178848266602,418,280,0.9948660135269165,440,327,0.995124876499176,423,328,0.9963590502738953
11,0,445,281,0.9920569062232971,417,279,0.9954736828804016,440,327,0.9951867461204529,423,328,0.9965217113494873
12,0,444,281,0.9932812452316284,417,280,0.995283305644989,439,328,0.9954407215118408,422,328,0.9963000416755676
13,0,445,281,0.9931354522705078,416,279,0.9953599572181702,439,327,0.9957929849624634,422,328,0.9966756105422974
14,0,444,281,0.9928160905838013,416,280,0.995726466178894,439,326,0.9955436587333679,421,327,0.9967470169067383
15,0,443,280,0.9945076107978821,416,280,0.9961093068122864,437,326,0.9963628649711609,421,327,0.9971019625663757
16,0,442,280,0.9942571520805359,416,280,0.9952906370162964,437,326,0.9960086345672607,421,327,0.9965510368347168
17,0,441,281,0.9940047860145569,415,280,0.994682252407074,437,327,0.9959679841995239,420,328,0.9963808655738831
18,0,440,281,0.9942786693572998,414,281,0.9946691393852234,436,327,0.9960722923278809,420,328,0.9963866472244263
19,0,440,282,0.9940650463104248,413,281,0.9947409629821777,436,327,0.9960798621177673,420,327,0.9963133931159973
20,0,440,282,0.9937973618507385,413,281,0.9947853684425354,436,326,0.996000349521637,419,326,0.9964029788970947
21,0,439,283,0.9939020872116089,412,281,0.995182454586029,435,327,0.9963177442550659,418,326,0.9968183040618896
22,0,439,282,0.9935449361801147,411,281,0.9949599504470825,434,327,0.9962136149406433,417,327,0.9969231486320496
