frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
1,432,279,420,278,429,326,421,327
2,437,280,419,278,432,328,421,328
3,438,281,419,276,432,328,421,327
4,440,282,419,277,435,329,422,328
5,441,282,420,278,435,328,422,327
6,442,283,420,278,435,328,422,327
7,444,282,420,277,438,328,423,327
8,445,282,420,277,438,329,423,327
9,445,284,420,279,439,328,423,327
10,444,283,419,279,438,328,422,327
11,444,282,418,278,439,328,422,327
12,444,283,418,279,439,328,422,327
13,444,283,417,279,439,327,422,326
14,444,283,417,279,438,326,421,325
15,443,282,416,279,438,326,421,326
16,443,283,415,280,437,327,420,326
17,443,283,415,280,437,327,420,326
18,442,282,414,280,436,327,419,326
19,441,282,414,280,435,326,419,326
20,440,282,414,281,434,326,418,325
21,439,282,413,282,434,326,418,326
22,439,283,412,283,434,326,417,326
23,439,283,412,283,434,327,417,327
24,439,283,412,283,434,326,418,327
25,439,283,412,283,434,327,417,327
26,438,283,412,283,433,328,417,328
27,439,282,411,283,434,327,418,328
28,439,281,412,282,434,327,418,328
29,438,281,412,281,434,327,418,327
30,438,280,412,281,434,327,418,328
31,439,280,412,281,434,327,418,328
32,438,280,411,281,434,328,418,329
33,438,281,411,282,433,328,417,329
34,437,281,411,283,433,329,417,330
35,438,281,410,283,434,329,417,330
36,437,281,410,283,434,328,417,330
37,437,281,410,283,434,328,417,329
38,438,281,410,283,434,328,417,329
39,438,281,410,283,434,327,417,328
40,438,281,410,283,434,327,417,328
41,438,280,410,283,435,327,417,328
42,438,281,411,282,434,326,417,327
43,439,281,412,282,435,327,418,328
44,439,281,412,282,435,327,418,328
45,439,281,411,282,435,327,418,327
46,439,280,412,282,435,327,418,328
47,438,281,410,283,434,328,417,329
48,439,280,412,282,435,327,418,328
49,438,281,410,283,435,328,417,329
50,438,281,410,283,435,328,417,329
51,438,281,410,283,434,328,417,329
52,438,281,410,283,434,328,417,329
53,438,281,410,283,434,328,417,329
54,438,281,410,283,434,328,417,329
55,438,281,410,283,434,328,417,329
56,438,281,411,283,435,328,417,329
57,438,281,411,283,435,328,417,329
58,439,281,411,283,435,329,418,330
59,439,281,411,283,435,328,418,329
60,439,281,413,282,436,329,419,329
61,440,281,412,282,436,329,418,330
62,440,281,413,282,436,329,419,329
63,441,281,415,282,437,330,420,330
64,442,281,416,281,437,330,420,329
65,443,281,419,281,438,330,422,330
66,442,281,421,281,437,329,424,329
67,443,280,422,281,437,329,424,329
68,442,280,424,280,436,329,425,329
69,443,278,425,278,436,329,425,329
70,443,278,427,278,436,330,426,329
71,442,278,428,279,436,329,428,328
72,441,279,428,279,437,328,429,327
73,441,279,430,279,436,328,430,327
74,440,279,431,279,436,328,432,327
75,438,279,433,279,436,327,433,327
76,439,280,432,280,436,328,433,327
77,438,280,433,279,435,328,433,327
78,439,280,432,279,436,328,432,328
79,439,280,432,279,436,328,432,327
80,438,280,433,279,435,328,433,327
81,438,280,434,279,435,328,433,327
82,438,279,434,278,435,327,434,326
83,437,279,435,278,435,327,435,326
84,437,280,436,279,435,327,435,326
85,437,279,435,278,436,327,435,327
86,437,279,434,279,436,328,434,327
87,437,280,435,278,435,327,435,326
88,438,280,433,279,436,327,433,326
89,439,280,432,279,436,328,433,327
90,439,279,432,279,436,328,432,327
91,439,279,432,278,436,328,432,327
92,439,280,433,279,436,328,433,328
93,439,279,433,279,435,328,432,327
94,439,279,432,279,435,327,432,326
95,439,280,433,279,435,329,432,328
96,438,280,433,279,435,329,434,328
97,436,280,434,279,433,330,433,329
98,436,280,434,279,433,332,433,330
99,435,280,435,279,432,330,433,329
100,433,278,439,277,431,327,436,326
101,431,278,441,277,432,325,439,324
102,425,280,443,279,429,324,442,324
103,425,281,443,279,429,325,442,324
104,422,282,444,280,426,326,442,325
105,418,283,443,281,424,326,441,326
106,416,283,443,281,423,328,441,327
107,415,283,442,282,423,327,441,326
108,414,284,443,283,421,328,440,328
109,413,284,441,282,421,327,438,326
110,413,283,442,282,421,327,439,326
111,413,283,441,282,420,327,438,326
112,413,282,441,282,420,326,437,326
113,412,282,441,282,419,327,437,327
114,412,282,441,282,419,328,436,328
115,413,282,441,282,419,328,437,328
116,413,281,441,282,419,327,437,327
117,414,281,441,281,420,326,437,327
118,414,281,442,281,421,327,438,327
119,414,281,441,281,421,327,438,327
120,413,281,442,281,419,327,438,327
121,414,281,443,280,422,327,440,327
122,414,281,443,280,422,327,441,327
123,414,281,444,281,420,327,440,326
124,414,281,443,281,420,327,439,327
125,414,282,443,281,420,327,439,327
126,415,282,443,281,421,327,440,327
127,416,282,443,282,421,328,439,328
128,416,282,444,282,421,327,440,327
129,417,282,445,282,422,327,440,327
130,417,283,444,283,422,327,439,327
131,417,283,444,283,422,327,439,327
132,418,283,444,282,423,327,439,327
133,418,283,444,282,424,328,440,327
134,418,283,443,282,424,328,439,327
135,419,283,443,282,425,328,440,328
136,419,282,442,282,425,328,439,328
137,419,282,441,282,424,328,437,328
138,421,282,439,282,425,328,436,328
139,421,281,438,281,425,326,436,326
140,423,280,437,280,425,326,435,326
141,424,280,437,280,426,326,434,326
142,425,280,435,281,428,326,434,327
143,429,280,432,282,431,326,433,327
144,432,279,430,280,433,324,432,325
145,436,279,428,279,436,323,431,324
146,438,278,428,279,438,323,432,324
147,437,279,427,279,438,323,432,324
148,438,279,427,280,440,323,433,324
149,438,279,427,280,439,323,433,324
150,439,278,427,279,439,322,432,323
151,438,278,427,279,438,321,432,322
152,439,279,427,280,439,323,433,324
153,439,279,427,279,439,323,432,323
154,440,280,427,279,439,324,431,324
155,441,279,427,279,439,323,431,324
156,441,279,427,279,440,323,431,323
157,442,280,426,280,441,324,431,324
158,444,280,426,280,441,323,430,324
159,443,281,426,281,441,324,431,324
160,444,281,426,280,441,324,430,324
161,445,281,426,280,442,324,430,324
162,445,281,425,280,442,325,429,325
163,446,282,425,281,442,326,429,325
164,447,282,425,281,443,325,429,325
165,448,282,425,282,444,325,430,326
166,448,283,424,282,443,327,429,327
167,448,283,424,282,442,327,428,327
168,448,283,424,282,442,327,427,327
169,449,283,424,282,441,327,427,327
170,449,283,424,282,441,327,426,327
171,449,283,424,283,441,327,427,327
172,450,283,424,283,442,328,427,327
173,450,284,424,284,442,328,427,328
174,450,284,424,284,442,329,427,329
175,449,284,424,284,442,329,427,329
176,449,284,423,284,442,330,427,330
177,449,285,422,285,443,331,427,331
178,448,284,422,285,443,330,427,330
