frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
2,0.35,1,Izq,469.00,310.00,0.91,465.00,392.00,0.91
2,0.98,2,Izq,553.00,325.00,0.92,551.00,400.00,0.92
2,1.09,3,Izq,624.00,337.00,0.84,621.00,401.00,0.84
2,1.18,4,Izq,694.00,341.00,0.90,690.00,402.00,0.90
3,0.09,1,Izq,470.00,309.00,0.91,467.00,390.00,0.91
3,0.22,2,Izq,556.00,323.00,0.91,555.00,399.00,0.91
3,4.14,3,Izq,629.00,339.00,0.84,624.00,404.00,0.84
3,4.43,4,Izq,696.00,341.00,0.89,691.00,403.00,0.89
4,0.21,1,Izq,471.00,310.00,0.91,467.00,390.00,0.91
4,0.52,2,Izq,556.00,322.00,0.91,556.00,399.00,0.91
4,0.63,3,Izq,630.00,339.00,0.84,625.00,404.00,0.84
4,0.76,4,Izq,696.00,341.00,0.89,691.00,403.00,0.89
5,0.24,1,Izq,472.00,309.00,0.91,467.00,390.00,0.91
5,0.61,2,Izq,560.00,321.00,0.91,559.00,399.00,0.91
5,0.81,4,Izq,697.00,341.00,0.89,693.00,403.00,0.89
6,0.28,1,Izq,473.00,309.00,0.91,469.00,390.00,0.91
6,0.76,2,Izq,560.00,324.00,0.90,559.00,400.00,0.90
6,1.01,4,Izq,698.00,341.00,0.84,694.00,403.00,0.84
7,0.23,1,Izq,475.00,309.00,0.91,471.00,390.00,0.91
7,0.67,2,Izq,562.00,322.00,0.90,561.00,400.00,0.90
7,10.26,4,Izq,697.00,338.00,0.82,695.00,399.00,0.82
8,0.21,1,Izq,477.00,309.00,0.80,470.00,390.00,0.80
8,0.59,2,Izq,563.00,322.00,0.91,561.00,399.00,0.91
8,6.11,4,Izq,698.00,338.00,0.84,695.00,400.00,0.84
9,0.16,1,Izq,477.00,309.00,0.80,471.00,390.00,0.80
9,0.39,2,Izq,563.00,321.00,0.91,561.00,399.00,0.91
9,2.38,4,Izq,698.00,338.00,0.84,695.00,400.00,0.84
10,0.25,2,Izq,565.00,321.00,0.92,561.00,398.00,0.92
10,4.26,3,Izq,637.00,341.00,0.83,632.00,401.00,0.83
10,4.73,4,Izq,696.00,337.00,0.85,695.00,399.00,0.85
11,0.24,1,Izq,478.00,308.00,0.88,474.00,390.00,0.88
11,0.62,2,Izq,565.00,321.00,0.92,563.00,398.00,0.92
11,0.78,3,Der,605.00,344.00,0.82,611.00,405.00,0.82
11,0.92,4,Izq,698.00,336.00,0.85,695.00,399.00,0.85
12,0.23,1,Izq,479.00,307.00,0.84,473.00,389.00,0.84
12,4.52,2,Izq,565.00,321.00,0.92,563.00,397.00,0.92
12,5.91,3,Der,607.00,343.00,0.82,612.00,404.00,0.82
12,9.08,4,Izq,697.00,336.00,0.86,695.00,399.00,0.86
13,0.22,1,Izq,479.00,306.00,0.88,474.00,390.00,0.88
13,0.55,2,Izq,565.00,320.00,0.92,562.00,396.00,0.92
13,0.70,3,Der,605.00,343.00,0.84,612.00,405.00,0.84
13,0.81,4,Izq,697.00,336.00,0.87,695.00,399.00,0.87
14,0.29,1,Izq,480.00,306.00,0.88,475.00,390.00,0.88
14,0.86,2,Izq,565.00,319.00,0.92,562.00,396.00,0.92
14,1.36,3,Der,605.00,343.00,0.84,611.00,405.00,0.84
14,1.98,4,Izq,697.00,336.00,0.87,695.00,399.00,0.87
15,0.23,1,Izq,479.00,305.00,0.89,474.00,389.00,0.89
15,0.60,2,Izq,565.00,319.00,0.92,562.00,395.00,0.92
15,2.56,3,Der,606.00,343.00,0.84,612.00,405.00,0.84
16,0.34,1,Izq,481.00,306.00,0.89,476.00,389.00,0.89
16,0.91,2,Izq,565.00,319.00,0.93,562.00,395.00,0.93
16,1.25,3,Der,605.00,343.00,0.84,611.00,405.00,0.84
16,2.11,4,Izq,697.00,334.00,0.87,694.00,397.00,0.87
17,0.23,1,Izq,482.00,305.00,0.81,475.00,387.00,0.81
17,0.59,2,Izq,565.00,319.00,0.92,561.00,394.00,0.92
17,3.73,3,Der,606.00,343.00,0.84,612.00,405.00,0.84
17,3.99,4,Izq,697.00,335.00,0.88,694.00,399.00,0.88
18,0.37,2,Izq,566.00,319.00,0.92,562.00,395.00,0.92
18,1.01,3,Izq,640.00,341.00,0.87,635.00,403.00,0.87
18,1.42,4,Izq,698.00,336.00,0.87,695.00,401.00,0.87
19,0.26,2,Izq,566.00,318.00,0.92,562.00,395.00,0.92
19,0.66,3,Izq,640.00,341.00,0.87,635.00,403.00,0.87
19,0.85,4,Izq,699.00,336.00,0.87,696.00,401.00,0.87
20,0.17,1,Izq,482.00,303.00,0.91,477.00,386.00,0.91
20,0.90,2,Izq,566.00,318.00,0.91,562.00,394.00,0.91
20,1.11,4,Izq,699.00,335.00,0.85,696.00,400.00,0.85
21,0.25,1,Izq,482.00,304.00,0.91,477.00,387.00,0.91
21,0.65,2,Izq,566.00,318.00,0.92,562.00,393.00,0.92
21,0.83,3,Der,606.00,341.00,0.80,613.00,404.00,0.80
21,1.01,4,Izq,699.00,335.00,0.83,697.00,400.00,0.83
22,0.26,1,Izq,483.00,304.00,0.91,478.00,387.00,0.91
22,1.71,2,Izq,570.00,317.00,0.86,563.00,392.00,0.86
22,2.07,3,Der,607.00,341.00,0.81,614.00,403.00,0.81
22,2.27,4,Izq,700.00,336.00,0.89,700.00,402.00,0.89
23,0.24,1,Izq,483.00,304.00,0.91,479.00,386.00,0.91
23,0.72,2,Izq,571.00,318.00,0.92,566.00,391.00,0.92
23,0.93,4,Izq,701.00,336.00,0.90,700.00,400.00,0.90
24,0.27,1,Izq,483.00,304.00,0.91,480.00,386.00,0.91
24,0.71,2,Izq,571.00,318.00,0.92,566.00,391.00,0.92
24,1.60,4,Izq,701.00,336.00,0.90,700.00,400.00,0.90
25,0.30,1,Izq,484.00,303.00,0.91,481.00,385.00,0.91
25,0.71,2,Izq,571.00,316.00,0.92,566.00,390.00,0.92
25,0.87,4,Izq,702.00,337.00,0.90,701.00,403.00,0.90
26,2.54,1,Izq,485.00,303.00,0.90,482.00,387.00,0.90
26,7.41,2,Izq,571.00,316.00,0.91,566.00,390.00,0.91
26,11.79,4,Izq,701.00,335.00,0.90,701.00,399.00,0.90
27,0.24,1,Izq,486.00,304.00,0.91,482.00,385.00,0.91
27,0.62,2,Izq,572.00,317.00,0.91,566.00,390.00,0.91
27,0.73,4,Izq,701.00,336.00,0.91,701.00,400.00,0.91
28,0.94,1,Izq,485.00,303.00,0.91,483.00,384.00,0.91
28,2.95,2,Izq,572.00,317.00,0.91,566.00,391.00,0.91
28,3.83,4,Izq,702.00,335.00,0.89,702.00,400.00,0.89
29,0.26,1,Izq,486.00,303.00,0.91,483.00,384.00,0.91
29,0.64,2,Izq,572.00,317.00,0.91,566.00,391.00,0.91
29,0.80,4,Izq,702.00,335.00,0.89,702.00,400.00,0.89
30,0.24,1,Izq,486.00,303.00,0.90,483.00,385.00,0.90
30,0.64,2,Izq,574.00,318.00,0.89,569.00,391.00,0.89
30,0.81,4,Izq,702.00,336.00,0.89,702.00,399.00,0.89
31,0.23,1,Izq,488.00,303.00,0.90,484.00,385.00,0.90
31,0.65,2,Izq,574.00,317.00,0.90,569.00,392.00,0.90
31,0.91,3,Der,610.00,342.00,0.80,617.00,405.00,0.80
31,1.08,4,Izq,703.00,334.00,0.91,703.00,398.00,0.91
32,0.37,1,Izq,488.00,303.00,0.91,483.00,384.00,0.91
32,6.18,2,Izq,574.00,319.00,0.89,569.00,391.00,0.89
32,11.14,4,Izq,702.00,333.00,0.91,703.00,397.00,0.91
33,0.21,1,Izq,490.00,304.00,0.89,487.00,384.00,0.89
33,4.83,2,Izq,575.00,317.00,0.90,570.00,391.00,0.90
33,5.39,4,Izq,704.00,332.00,0.91,703.00,397.00,0.91
34,0.22,1,Izq,491.00,304.00,0.89,487.00,384.00,0.89
34,0.54,2,Izq,576.00,317.00,0.90,570.00,391.00,0.90
34,0.64,4,Izq,704.00,332.00,0.91,703.00,397.00,0.91
35,0.41,1,Izq,492.00,303.00,0.89,487.00,383.00,0.89
35,1.10,2,Izq,575.00,316.00,0.88,571.00,391.00,0.88
35,1.34,3,Izq,640.00,334.00,0.89,639.00,398.00,0.89
35,1.49,4,Izq,704.00,333.00,0.91,703.00,396.00,0.91
36,1.00,1,Izq,493.00,302.00,0.89,488.00,382.00,0.89
36,1.40,2,Izq,575.00,316.00,0.88,573.00,392.00,0.88
36,4.10,3,Izq,643.00,333.00,0.88,640.00,397.00,0.88
36,4.29,4,Izq,706.00,333.00,0.91,704.00,397.00,0.91
37,0.22,1,Izq,494.00,302.00,0.89,489.00,384.00,0.89
37,0.57,2,Izq,576.00,316.00,0.91,571.00,392.00,0.91
37,0.81,3,Izq,643.00,333.00,0.88,641.00,397.00,0.88
37,3.23,4,Izq,707.00,331.00,0.90,708.00,395.00,0.90
38,0.24,1,Izq,496.00,302.00,0.90,493.00,383.00,0.90
38,0.59,2,Izq,577.00,316.00,0.89,572.00,392.00,0.89
38,0.71,3,Izq,644.00,334.00,0.88,642.00,397.00,0.88
38,0.80,4,Izq,707.00,332.00,0.91,707.00,396.00,0.91
39,0.26,1,Izq,496.00,301.00,0.90,493.00,382.00,0.90
39,0.65,2,Izq,577.00,316.00,0.89,573.00,392.00,0.89
39,0.85,3,Izq,644.00,334.00,0.88,642.00,397.00,0.88
39,1.05,4,Izq,707.00,332.00,0.91,707.00,396.00,0.91
40,0.40,1,Izq,496.00,300.00,0.89,491.00,382.00,0.89
40,1.15,2,Izq,581.00,318.00,0.91,576.00,392.00,0.91
40,1.54,3,Izq,646.00,334.00,0.87,643.00,398.00,0.87
40,1.77,4,Izq,708.00,330.00,0.90,708.00,396.00,0.90
41,0.25,1,Izq,497.00,299.00,0.90,493.00,380.00,0.90
41,1.51,2,Izq,581.00,317.00,0.91,578.00,392.00,0.91
41,1.71,3,Izq,646.00,333.00,0.87,643.00,397.00,0.87
41,1.81,4,Izq,709.00,331.00,0.89,708.00,395.00,0.89
42,0.22,1,Izq,496.00,300.00,0.89,492.00,381.00,0.89
42,0.62,2,Izq,580.00,315.00,0.89,577.00,389.00,0.89
42,0.76,3,Izq,647.00,333.00,0.87,644.00,396.00,0.87
42,0.86,4,Izq,707.00,331.00,0.90,708.00,395.00,0.90
43,0.24,1,Izq,496.00,300.00,0.91,492.00,379.00,0.91
43,0.60,2,Izq,581.00,313.00,0.89,577.00,389.00,0.89
43,0.71,3,Izq,647.00,331.00,0.88,645.00,396.00,0.88
43,0.82,4,Izq,709.00,329.00,0.90,709.00,393.00,0.90
44,0.22,1,Izq,496.00,299.00,0.91,493.00,379.00,0.91
44,3.70,2,Izq,582.00,313.00,0.89,577.00,388.00,0.89
44,4.04,3,Izq,647.00,330.00,0.88,645.00,396.00,0.88
44,4.18,4,Izq,709.00,329.00,0.90,709.00,393.00,0.90
45,0.25,1,Izq,497.00,299.00,0.90,493.00,380.00,0.90
45,9.81,2,Izq,582.00,313.00,0.89,578.00,388.00,0.89
45,10.16,3,Izq,647.00,331.00,0.88,645.00,397.00,0.88
46,0.32,1,Izq,497.00,299.00,0.90,493.00,379.00,0.90
46,0.72,2,Izq,581.00,313.00,0.90,578.00,387.00,0.90
46,0.91,3,Izq,648.00,332.00,0.88,645.00,398.00,0.88
47,0.28,1,Izq,497.00,297.00,0.89,493.00,378.00,0.89
47,2.88,2,Izq,580.00,313.00,0.89,579.00,388.00,0.89
47,3.43,3,Izq,647.00,331.00,0.88,646.00,397.00,0.88
48,0.22,1,Izq,497.00,299.00,0.89,493.00,378.00,0.89
48,4.35,2,Izq,580.00,313.00,0.90,578.00,388.00,0.90
48,4.67,3,Izq,647.00,329.00,0.87,645.00,394.00,0.87
49,0.26,1,Izq,497.00,299.00,0.89,493.00,378.00,0.89
49,0.67,2,Izq,580.00,313.00,0.90,578.00,388.00,0.90
49,0.82,3,Izq,647.00,329.00,0.87,645.00,394.00,0.87
50,0.25,1,Izq,497.00,298.00,0.89,494.00,377.00,0.89
50,0.73,2,Izq,581.00,314.00,0.89,579.00,387.00,0.89
50,0.87,3,Izq,647.00,331.00,0.88,645.00,396.00,0.88
51,0.24,1,Izq,500.00,299.00,0.90,495.00,379.00,0.90
51,0.77,2,Izq,581.00,313.00,0.90,579.00,386.00,0.90
51,1.07,3,Izq,648.00,329.00,0.87,645.00,394.00,0.87
52,0.28,1,Izq,500.00,298.00,0.90,495.00,378.00,0.90
52,0.75,2,Izq,580.00,313.00,0.90,578.00,387.00,0.90
52,0.96,3,Izq,647.00,329.00,0.87,645.00,392.00,0.87
52,1.15,4,Izq,711.00,327.00,0.89,711.00,392.00,0.89
53,0.24,1,Izq,502.00,299.00,0.89,495.00,380.00,0.89
53,0.79,2,Izq,580.00,314.00,0.90,578.00,388.00,0.90
53,1.04,3,Izq,646.00,331.00,0.87,644.00,394.00,0.87
54,0.23,1,Izq,502.00,299.00,0.89,495.00,380.00,0.89
54,0.59,2,Izq,580.00,314.00,0.90,577.00,388.00,0.90
54,0.72,3,Izq,645.00,331.00,0.87,644.00,394.00,0.87
55,0.22,1,Izq,502.00,299.00,0.89,496.00,377.00,0.89
55,0.72,2,Izq,580.00,313.00,0.90,577.00,388.00,0.90
55,1.15,3,Izq,645.00,330.00,0.86,643.00,394.00,0.86
