frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
0,599.68,0,Der,769.55,493.36,0.99,788.16,599.27,0.99
0,599.68,1,Der,638.74,468.94,0.99,652.22,580.16,0.99
0,599.68,2,Izq,1044.62,516.90,0.99,1033.47,604.55,0.99
0,599.68,3,Izq,944.77,512.92,0.99,934.53,606.95,0.99
1,163.00,0,Der,772.47,492.73,0.99,790.72,598.85,0.99
1,163.00,1,Der,640.48,468.50,0.99,654.65,579.21,0.99
1,163.00,2,Izq,1046.55,518.23,0.99,1035.46,601.44,0.99
1,163.00,3,Izq,946.88,511.15,0.99,935.81,606.80,0.99
2,121.24,0,Der,644.77,469.56,0.99,658.41,582.17,0.99
2,121.24,1,Der,777.28,493.83,0.99,793.34,599.16,0.99
2,121.24,2,Izq,1049.14,518.95,0.99,1038.99,603.47,0.99
2,121.24,3,Izq,949.77,512.16,0.99,937.86,608.16,0.99
3,132.46,0,Der,647.73,469.85,0.99,661.47,580.42,0.99
3,132.46,1,Der,780.04,492.72,0.99,794.07,599.09,0.99
3,132.46,2,Izq,1052.32,519.50,0.99,1041.82,602.24,0.99
3,132.46,3,Izq,955.28,510.29,0.99,943.29,608.46,0.99
4,117.19,0,Der,649.43,467.52,0.99,662.98,578.86,0.99
4,117.19,1,Der,781.01,492.64,0.99,794.59,600.70,0.99
4,117.19,2,Izq,1051.86,517.94,0.99,1040.69,602.21,0.99
4,117.19,3,Izq,955.26,510.67,0.99,943.32,608.90,0.99
5,110.92,0,Der,651.25,466.24,0.99,663.85,577.60,0.99
5,110.92,1,Der,782.69,491.49,0.99,797.69,596.60,0.99
5,110.92,2,Izq,1050.54,517.55,0.99,1040.91,601.74,0.99
5,110.92,3,Izq,958.84,511.29,0.99,947.02,609.13,0.99
6,129.93,0,Der,650.79,466.42,0.99,664.63,578.52,0.99
6,129.93,1,Der,783.43,489.91,0.99,799.65,595.22,0.99
6,129.93,2,Izq,1050.51,517.66,0.99,1040.34,601.74,0.99
6,129.93,3,Izq,959.06,508.66,0.99,948.80,607.69,0.99
7,130.37,0,Der,785.87,490.13,0.99,801.17,593.19,0.99
7,130.37,1,Der,650.78,465.27,0.99,665.50,575.73,0.99
7,130.37,2,Izq,1050.77,518.39,0.99,1043.07,601.84,0.99
7,130.37,3,Izq,961.44,512.13,0.99,951.15,609.05,0.99
8,122.16,0,Der,789.04,490.82,0.99,803.97,590.56,0.99
8,122.16,1,Der,652.23,463.88,0.99,666.99,575.76,0.99
8,122.16,2,Izq,1051.15,517.63,0.99,1041.71,601.67,0.99
8,122.16,3,Izq,961.62,509.28,0.99,951.08,607.44,0.99
9,139.25,0,Der,789.38,489.88,0.99,803.93,590.43,0.99
9,139.25,1,Der,651.68,462.03,0.99,667.36,573.66,1.00
9,139.25,2,Izq,1050.17,517.01,0.99,1042.92,602.36,0.99
9,139.25,3,Izq,966.30,509.53,0.99,952.94,611.60,0.99
10,121.13,0,Der,787.17,488.61,0.99,803.62,591.21,1.00
10,121.13,1,Der,653.79,460.42,0.99,669.17,572.64,1.00
10,121.13,2,Izq,1049.89,516.14,0.99,1044.70,602.09,0.99
10,121.13,3,Izq,964.12,508.24,0.99,953.23,608.52,0.99
11,132.90,0,Der,787.08,487.78,0.99,803.68,590.98,1.00
11,132.90,1,Der,654.37,460.72,0.99,669.30,573.01,1.00
11,132.90,2,Izq,1050.96,516.81,0.99,1044.88,601.85,0.99
11,132.90,3,Izq,965.60,509.84,0.99,953.47,611.18,0.99
12,131.68,0,Der,791.32,487.68,0.99,805.66,588.35,0.99
12,131.68,1,Der,658.23,462.10,1.00,672.27,576.03,1.00
12,131.68,2,Izq,965.55,510.27,0.99,955.77,610.66,0.99
12,131.68,3,Izq,1051.58,516.33,0.99,1044.74,600.89,0.99
13,114.89,0,Der,791.14,487.34,0.99,807.11,587.14,0.99
13,114.89,1,Der,658.80,458.43,1.00,672.02,574.64,1.00
