frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
0,687.58,0,Der,638.65,468.66,1.00,652.82,585.51,1.00
0,687.58,1,Izq,839.31,489.67,1.00,831.01,596.85,1.00
0,687.58,2,Izq,1049.04,515.87,0.99,1036.59,605.13,1.00
0,687.58,3,Izq,944.52,510.46,1.00,936.43,607.76,1.00
1,224.76,0,Der,640.57,467.09,1.00,654.61,583.65,1.00
1,224.76,1,Izq,841.10,488.54,1.00,834.03,596.86,1.00
1,224.76,2,Izq,1048.96,513.86,1.00,1037.24,602.12,1.00
1,224.76,3,Izq,948.69,510.46,1.00,940.03,611.24,1.00
2,315.11,0,Der,644.75,466.89,1.00,657.59,584.14,1.00
2,315.11,1,Der,775.92,491.45,1.00,790.63,599.39,1.00
2,315.11,2,Izq,1051.16,515.78,1.00,1041.09,605.27,1.00
2,315.11,3,Izq,952.47,512.51,1.00,943.71,612.21,1.00
3,342.70,0,Der,646.87,466.35,1.00,660.57,583.39,1.00
3,342.70,1,Der,779.90,490.75,0.99,795.46,598.49,1.00
3,342.70,2,Izq,1052.72,514.44,1.00,1043.75,602.91,1.00
3,342.70,3,Izq,956.22,513.14,0.99,950.20,612.56,1.00
4,307.95,0,Der,647.56,469.92,1.00,662.66,584.49,1.00
4,307.95,1,Der,781.20,489.69,1.00,795.79,598.04,1.00
4,307.95,2,Izq,1051.92,513.35,1.00,1044.62,602.50,1.00
4,307.95,3,Izq,957.04,511.12,0.99,950.78,610.95,0.99
5,321.14,0,Der,648.07,469.74,1.00,663.94,584.53,1.00
5,321.14,1,Der,782.13,488.54,1.00,796.89,597.17,1.00
5,321.14,2,Izq,1051.85,512.95,1.00,1044.72,602.98,1.00
5,321.14,3,Izq,958.32,510.33,0.99,952.04,609.50,1.00
6,282.93,0,Der,649.16,468.15,1.00,664.95,582.94,1.00
6,282.93,1,Der,784.21,489.04,1.00,799.13,597.47,1.00
6,282.93,2,Izq,1052.05,512.28,1.00,1045.67,602.68,1.00
6,282.93,3,Der,902.39,514.31,0.99,918.00,614.51,0.99
7,369.06,0,Der,652.01,467.72,1.00,666.99,583.09,1.00
7,369.06,1,Der,787.37,490.70,1.00,802.07,596.76,1.00
7,369.06,2,Izq,1051.29,511.85,1.00,1046.70,602.73,1.00
7,369.06,3,Der,904.91,513.79,0.99,920.87,610.21,1.00
8,246.92,0,Der,653.44,466.14,1.00,669.15,584.20,1.00
8,246.92,1,Der,787.47,491.02,1.00,802.67,597.63,1.00
8,246.92,2,Izq,1051.31,512.21,1.00,1046.31,603.53,1.00
8,246.92,3,Der,904.87,514.44,0.99,919.57,612.18,0.99
9,222.48,0,Der,653.75,466.15,1.00,668.66,583.93,1.00
9,222.48,1,Der,787.33,490.71,1.00,802.61,597.62,1.00
9,222.48,2,Izq,1050.77,511.00,1.00,1046.59,602.71,1.00
9,222.48,3,Der,904.04,514.93,0.99,918.33,611.72,1.00
10,214.44,0,Der,655.17,465.43,1.00,670.12,582.90,1.00
10,214.44,1,Der,788.06,489.79,1.00,803.30,596.77,1.00
10,214.44,2,Izq,1050.25,509.40,1.00,1046.93,602.69,1.00
10,214.44,3,Der,904.31,513.43,0.99,919.35,610.61,1.00
11,205.58,0,Der,655.29,464.25,1.00,670.70,582.97,1.00
11,205.58,1,Der,788.50,489.51,1.00,803.81,595.81,1.00
11,205.58,2,Izq,1050.03,508.93,1.00,1047.13,603.20,1.00
11,205.58,3,Der,904.46,513.33,0.99,920.27,610.31,1.00
12,319.67,0,Der,656.70,464.76,0.99,670.21,581.00,1.00
12,319.67,1,Der,789.40,488.70,1.00,804.39,595.59,1.00
12,319.67,2,Izq,1050.33,508.51,1.00,1047.78,601.47,1.00
12,319.67,3,Der,905.13,512.48,0.99,921.37,608.86,1.00
13,313.51,0,Der,658.73,462.01,1.00,672.72,581.19,1.00
13,313.51,1,Der,790.72,487.90,1.00,805.75,594.33,1.00
13,313.51,2,Izq,1050.69,507.85,1.00,1048.90,602.39,1.00
13,313.51,3,Der,905.85,511.91,0.99,923.75,608.73,1.00
14,258.08,0,Der,658.67,462.02,1.00,672.76,581.03,1.00
14,258.08,1,Der,791.75,488.00,1.00,806.68,592.90,1.00
14,258.08,2,Izq,1051.95,506.68,1.00,1049.44,602.24,1.00
14,258.08,3,Der,906.44,511.97,0.99,924.84,608.96,1.00
15,221.98,0,Der,791.70,486.78,1.00,806.74,591.32,1.00
15,221.98,1,Der,659.74,462.68,1.00,674.71,580.42,1.00
15,221.98,2,Izq,1053.65,507.43,1.00,1049.81,602.45,1.00
15,221.98,3,Der,906.33,510.82,0.99,922.34,607.55,1.00
16,221.38,0,Der,793.39,486.78,1.00,808.82,593.09,1.00
16,221.38,1,Der,660.35,462.63,1.00,675.16,581.51,1.00
16,221.38,2,Izq,1055.07,506.74,1.00,1050.35,601.12,1.00
16,221.38,3,Der,905.22,508.70,0.99,920.97,607.19,1.00
17,216.68,0,Der,794.60,485.75,1.00,810.68,592.63,1.00
17,216.68,1,Der,661.73,460.95,1.00,676.86,579.36,1.00
17,216.68,2,Izq,1055.36,506.19,1.00,1050.61,597.73,1.00
17,216.68,3,Izq,962.39,509.01,0.99,958.42,606.65,1.00
18,331.80,0,Der,795.43,485.86,1.00,811.19,592.20,1.00
18,331.80,1,Der,662.57,460.48,1.00,677.69,578.66,1.00
18,331.80,2,Izq,1056.57,505.40,0.99,1051.70,597.54,1.00
18,331.80,3,Izq,963.98,509.49,0.99,959.18,607.21,1.00
19,292.61,0,Der,796.70,485.03,1.00,812.46,591.22,1.00
19,292.61,1,Der,663.99,460.00,1.00,678.42,578.10,1.00
19,292.61,2,Izq,1056.78,505.23,0.99,1051.41,596.64,1.00
19,292.61,3,Izq,963.99,509.27,0.99,958.17,606.81,1.00
20,232.76,0,Der,796.91,485.44,1.00,812.87,591.76,1.00
20,232.76,1,Der,664.91,459.83,1.00,678.79,578.96,1.00
20,232.76,2,Izq,1057.48,506.23,0.99,1052.60,596.74,1.00
20,232.76,3,Izq,965.52,510.65,1.00,958.81,609.08,1.00
21,217.38,0,Der,797.32,485.66,1.00,813.11,591.55,1.00
21,217.38,1,Der,665.87,459.54,1.00,679.69,577.91,1.00
21,217.38,2,Izq,1058.43,505.72,0.99,1053.32,597.50,1.00
21,217.38,3,Izq,965.74,510.82,1.00,957.83,610.33,1.00
22,199.44,0,Der,797.78,485.93,1.00,813.72,591.92,1.00
22,199.44,1,Der,665.83,460.59,1.00,681.07,578.60,1.00
22,199.44,2,Izq,1058.26,505.81,0.99,1053.69,597.08,1.00
22,199.44,3,Izq,966.30,509.98,1.00,958.25,609.50,1.00
23,328.76,0,Der,798.21,485.43,1.00,814.67,592.00,1.00
23,328.76,1,Der,667.55,459.80,1.00,682.25,577.41,1.00
23,328.76,2,Izq,1058.69,506.85,0.99,1053.45,597.89,1.00
23,328.76,3,Izq,965.59,510.24,0.99,958.32,608.80,1.00
24,245.71,0,Der,799.04,485.25,1.00,815.34,591.20,1.00
24,245.71,1,Der,667.84,459.34,1.00,683.15,578.30,1.00
24,245.71,2,Izq,1060.00,505.98,0.99,1054.88,598.30,1.00
24,245.71,3,Izq,965.46,509.70,0.99,958.44,606.97,1.00
25,311.59,0,Der,799.72,485.76,1.00,815.78,592.11,1.00
25,311.59,1,Der,669.29,460.45,1.00,684.51,579.41,1.00
25,311.59,2,Izq,1060.43,506.13,0.99,1055.65,598.45,1.00
25,311.59,3,Izq,965.75,509.47,0.99,959.39,608.66,1.00
26,272.32,0,Der,801.37,484.85,1.00,816.51,592.39,1.00
26,272.32,1,Der,670.78,459.55,1.00,685.86,578.35,1.00
26,272.32,2,Izq,1063.01,507.18,0.99,1057.75,599.63,0.99
26,272.32,3,Izq,967.46,509.99,0.99,959.75,609.58,1.00
27,306.24,0,Der,802.36,484.23,1.00,817.17,591.29,1.00
27,306.24,1,Der,672.44,459.07,1.00,687.65,577.98,1.00
27,306.24,2,Izq,1063.76,505.80,0.99,1058.13,598.99,0.99
27,306.24,3,Izq,968.37,509.63,0.99,960.85,609.46,1.00
28,283.72,0,Der,803.60,483.99,1.00,818.88,591.43,1.00
28,283.72,1,Der,673.40,457.91,1.00,688.48,576.77,1.00
28,283.72,2,Izq,1065.53,504.54,0.99,1060.54,597.36,0.99
28,283.72,3,Izq,970.07,508.45,0.99,962.68,609.25,0.99
29,220.88,0,Der,675.92,457.47,1.00,689.61,576.37,1.00
29,220.88,1,Der,806.04,483.02,1.00,821.30,589.83,1.00
29,220.88,2,Izq,1066.96,503.99,0.99,1062.11,596.87,0.99
29,220.88,3,Der,919.66,508.76,0.99,929.64,610.27,0.99
30,361.30,0,Der,677.78,455.52,1.00,691.25,574.48,1.00
30,361.30,1,Izq,871.68,477.91,1.00,863.75,587.22,1.00
30,361.30,2,Izq,1068.62,502.96,0.99,1064.37,595.82,0.99
30,361.30,3,Der,920.33,507.01,0.99,930.31,607.51,0.99
31,233.11,0,Der,680.38,455.07,1.00,692.67,573.61,1.00
31,233.11,1,Izq,872.97,477.89,1.00,865.31,587.61,1.00
31,233.11,2,Izq,1069.94,503.31,0.99,1065.59,596.80,0.99
31,233.11,3,Der,920.69,506.27,0.99,929.97,607.29,1.00
32,275.91,0,Der,680.80,454.10,1.00,693.48,571.48,1.00
32,275.91,1,Izq,873.40,477.19,1.00,866.33,587.00,1.00
32,275.91,2,Izq,1070.91,505.03,0.99,1066.42,599.20,0.99
32,275.91,3,Der,922.07,506.19,0.99,931.16,607.35,0.99
33,227.21,0,Der,680.78,453.57,1.00,693.93,572.66,1.00
33,227.21,1,Izq,873.50,476.39,1.00,866.44,586.74,1.00
33,227.21,2,Izq,1071.65,504.57,0.99,1067.39,598.58,0.99
33,227.21,3,Der,922.56,506.89,0.99,931.95,608.25,0.99
34,372.84,0,Der,680.54,452.73,1.00,693.94,572.60,1.00
34,372.84,1,Izq,873.87,474.97,1.00,866.91,585.22,1.00
34,372.84,2,Izq,1071.92,502.95,0.99,1066.98,594.67,0.99
34,372.84,3,Izq,980.13,503.82,0.99,970.19,606.71,1.00
35,249.01,0,Der,682.21,451.06,1.00,695.53,570.67,1.00
35,249.01,1,Izq,874.96,474.14,1.00,867.97,584.80,1.00
35,249.01,2,Izq,1071.89,501.79,0.99,1067.67,592.74,0.99
35,249.01,3,Izq,979.46,502.73,0.99,970.43,605.49,1.00
36,240.16,0,Der,682.22,452.07,1.00,695.49,571.83,1.00
36,240.16,1,Izq,874.75,473.93,1.00,867.83,584.54,1.00
36,240.16,2,Izq,1072.46,501.77,0.99,1067.52,594.20,0.99
36,240.16,3,Izq,980.84,502.36,0.99,970.27,605.02,0.99
37,232.46,0,Der,682.08,451.78,1.00,695.23,571.95,1.00
37,232.46,1,Izq,874.63,473.07,1.00,867.70,583.66,1.00
37,232.46,2,Izq,1074.04,501.35,0.98,1068.29,592.33,0.99
37,232.46,3,Izq,980.00,501.55,0.99,969.45,604.29,1.00
38,322.96,0,Der,683.48,450.82,1.00,695.95,570.18,1.00
38,322.96,1,Izq,874.72,472.94,1.00,867.41,582.96,1.00
38,322.96,2,Izq,1073.69,502.01,0.98,1067.82,594.14,0.99
38,322.96,3,Izq,979.97,502.51,0.99,968.98,605.15,0.99
39,327.10,0,Der,684.09,450.75,1.00,696.24,570.11,1.00
39,327.10,1,Izq,874.88,473.22,1.00,868.53,583.58,1.00
39,327.10,2,Der,1015.05,505.22,0.98,1033.01,596.61,0.99
39,327.10,3,Der,921.68,503.63,0.99,931.71,605.01,1.00
40,270.18,0,Der,686.57,450.39,1.00,696.98,568.89,1.00
40,270.18,1,Der,809.65,475.86,1.00,826.75,585.14,1.00
40,270.18,2,Der,1014.97,503.31,0.99,1031.71,594.02,0.99
40,270.18,3,Der,921.82,502.29,0.99,932.37,603.33,1.00
41,217.87,0,Der,686.68,450.24,1.00,697.69,568.73,1.00
41,217.87,1,Der,808.97,476.09,1.00,825.97,585.21,1.00
41,217.87,2,Der,1015.65,503.31,0.99,1032.09,595.01,0.99
41,217.87,3,Der,921.45,503.06,0.99,932.63,604.30,0.99
42,275.45,0,Der,686.98,449.95,1.00,697.72,568.96,1.00
42,275.45,1,Der,808.82,476.38,1.00,825.47,585.24,1.00
42,275.45,2,Der,1015.48,503.21,0.99,1031.02,594.08,0.99
42,275.45,3,Der,920.25,503.17,0.99,932.00,604.95,0.99
43,262.98,0,Der,687.27,450.00,1.00,697.30,568.92,1.00
43,262.98,1,Der,808.27,476.41,1.00,824.28,585.21,1.00
43,262.98,2,Izq,1075.45,501.37,0.99,1066.89,592.75,0.99
43,262.98,3,Der,920.07,503.36,0.99,931.52,604.62,0.99
44,236.18,0,Der,688.49,450.14,1.00,698.02,570.10,1.00
44,236.18,1,Der,807.85,476.90,1.00,823.65,584.90,1.00
44,236.18,2,Der,1016.60,501.45,0.99,1030.80,593.72,0.99
44,236.18,3,Der,918.67,504.21,0.99,930.23,606.49,0.99
45,326.04,0,Der,690.79,453.12,1.00,699.37,571.36,1.00
45,326.04,1,Der,808.42,476.41,1.00,823.14,584.72,1.00
45,326.04,2,Der,1017.39,501.76,0.99,1030.63,594.54,0.99
45,326.04,3,Izq,973.62,503.65,0.99,965.90,606.61,0.99
46,247.47,0,Der,807.50,476.50,1.00,822.13,584.88,1.00
46,247.47,1,Der,692.07,452.85,1.00,700.02,570.70,1.00
46,247.47,2,Der,1018.70,500.43,0.99,1030.35,591.38,1.00
46,247.47,3,Der,916.01,504.36,0.99,927.91,606.47,0.99
47,316.06,0,Der,692.70,453.15,1.00,699.36,569.29,1.00
47,316.06,1,Der,807.47,475.68,1.00,821.54,583.92,1.00
47,316.06,2,Der,1019.29,500.46,0.99,1030.42,591.01,1.00
47,316.06,3,Der,914.08,503.08,0.99,926.55,607.26,0.99
48,322.62,0,Der,693.44,452.80,1.00,699.37,569.22,1.00
48,322.62,1,Der,807.33,475.19,1.00,820.74,582.48,1.00
48,322.62,2,Der,1020.80,499.68,0.99,1030.00,590.67,1.00
48,322.62,3,Izq,967.90,502.45,0.99,961.65,605.46,1.00
49,258.13,0,Der,694.41,452.25,1.00,699.96,566.88,1.00
49,258.13,1,Der,807.31,474.72,1.00,820.28,582.09,1.00
49,258.13,2,Der,1020.18,499.48,0.99,1029.57,591.95,0.99
49,258.13,3,Izq,967.09,501.76,0.99,960.37,604.49,1.00
50,223.22,0,Der,806.73,474.27,1.00,820.03,581.12,1.00
50,223.22,1,Der,694.88,447.84,1.00,699.84,565.36,1.00
50,223.22,2,Der,1021.87,498.22,0.99,1030.43,590.83,0.99
50,223.22,3,Izq,966.27,500.37,0.99,960.46,602.25,1.00
51,224.65,0,Der,806.99,473.87,1.00,820.35,580.35,1.00
51,224.65,1,Der,694.48,447.46,1.00,700.09,564.20,1.00
51,224.65,2,Der,1022.56,497.42,0.99,1031.05,589.19,0.99
51,224.65,3,Izq,966.52,499.12,0.99,960.89,597.37,1.00
52,453.33,0,Der,695.18,446.36,1.00,700.11,563.02,1.00
52,453.33,1,Der,807.41,473.21,1.00,820.92,579.65,1.00
52,453.33,2,Der,1024.54,497.17,0.99,1031.43,589.83,0.99
52,453.33,3,Izq,965.87,499.43,0.99,961.46,598.21,0.99
53,347.65,0,Der,695.11,446.02,1.00,699.74,562.33,1.00
53,347.65,1,Der,807.83,472.55,1.00,821.10,577.93,1.00
53,347.65,2,Der,1026.25,496.52,0.99,1032.21,589.28,0.99
53,347.65,3,Izq,965.64,498.86,0.99,960.65,598.35,1.00
54,334.78,0,Der,694.52,445.44,1.00,700.08,562.18,1.00
54,334.78,1,Der,808.02,471.82,1.00,821.52,577.60,1.00
54,334.78,2,Der,1026.51,495.30,0.99,1032.29,587.87,0.99
