frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
0,531.06,0,Der,256.29,175.36,0.99,262.04,212.76,0.99
0,531.06,1,Der,212.96,166.32,0.99,217.10,205.48,0.99
0,531.06,2,Izq,348.67,184.34,0.99,344.56,213.32,0.99
0,531.06,3,Izq,315.14,181.22,0.98,311.52,215.11,0.99
1,137.93,0,Der,257.16,174.75,0.99,262.80,212.40,0.99
1,137.93,1,Der,213.57,165.94,0.99,217.69,204.82,0.99
1,137.93,2,Izq,348.82,184.20,0.99,344.63,213.53,0.99
1,137.93,3,Izq,315.96,181.21,0.99,312.03,215.28,0.99
2,139.32,0,Der,258.58,174.59,0.99,263.75,211.93,0.99
2,139.32,1,Der,214.79,166.99,0.99,219.06,206.93,0.99
2,139.32,2,Izq,349.14,184.10,0.99,345.13,213.83,0.99
2,139.32,3,Izq,316.87,181.53,0.99,312.65,215.87,0.99
3,138.25,0,Der,259.48,174.55,0.99,264.50,212.05,0.99
3,138.25,1,Der,215.53,166.27,0.99,219.38,205.91,0.99
3,138.25,2,Izq,350.44,184.70,0.99,347.41,213.87,0.99
3,138.25,3,Izq,318.13,180.62,0.99,314.36,215.08,0.99
4,134.51,0,Der,260.16,175.00,0.99,265.24,212.61,0.99
4,134.51,1,Der,216.04,165.65,0.99,219.95,205.41,0.99
4,134.51,2,Izq,350.59,183.70,0.99,346.94,213.32,0.99
4,134.51,3,Izq,318.44,179.99,0.99,314.99,214.63,0.99
5,133.61,0,Der,216.88,165.94,0.99,220.68,205.32,0.99
5,133.61,1,Der,260.65,174.93,0.99,265.86,212.27,0.99
5,133.61,2,Izq,350.13,183.88,0.99,347.28,213.43,0.99
5,133.61,3,Izq,319.57,181.07,0.99,316.10,215.95,0.99
6,128.14,0,Der,261.01,174.51,0.99,266.08,211.78,0.99
6,128.14,1,Der,216.62,165.78,0.99,221.00,205.59,0.99
6,128.14,2,Izq,350.26,184.12,0.99,347.24,214.08,0.99
6,128.14,3,Izq,320.32,181.17,0.99,316.66,215.92,0.99
7,121.29,0,Der,261.68,174.36,0.99,267.10,211.23,0.99
7,121.29,1,Der,218.16,165.92,1.00,221.97,205.92,0.99
7,121.29,2,Izq,350.07,183.90,0.99,347.97,213.71,0.99
7,121.29,3,Der,301.46,182.97,0.98,305.00,216.39,0.98
8,114.33,0,Der,261.85,174.49,0.99,267.17,211.63,0.99
8,114.33,1,Der,218.19,165.88,1.00,222.31,205.48,0.99
8,114.33,2,Izq,350.39,184.45,0.99,347.89,214.30,0.99
8,114.33,3,Izq,321.28,180.75,0.99,317.75,215.69,0.99
9,134.75,0,Der,261.82,174.12,0.99,267.23,211.27,0.99
9,134.75,1,Der,218.06,165.13,0.99,222.22,204.71,1.00
9,134.75,2,Izq,349.89,184.04,0.99,347.69,213.88,0.99
9,134.75,3,Izq,321.53,180.46,0.99,317.70,215.53,0.99
10,132.16,0,Der,262.09,173.94,0.99,267.54,210.74,0.99
10,132.16,1,Der,218.55,164.73,0.99,222.65,204.48,0.99
10,132.16,2,Izq,349.72,183.23,0.99,348.19,212.98,0.99
10,132.16,3,Der,301.91,181.77,0.99,305.24,215.75,0.99
11,128.44,0,Izq,285.65,172.63,0.99,282.70,209.85,0.99
11,128.44,1,Der,217.60,164.64,0.99,222.14,203.83,0.99
11,128.44,2,Izq,350.20,183.44,0.99,348.23,213.10,0.99
11,128.44,3,Der,301.89,181.99,0.99,305.17,215.89,0.99
12,118.67,0,Der,219.20,164.98,0.99,223.82,204.89,0.99
12,118.67,1,Der,263.40,173.71,0.99,268.43,209.05,0.99
12,118.67,2,Izq,322.07,179.99,0.99,318.25,215.11,0.99
12,118.67,3,Izq,350.25,183.50,0.99,348.21,213.36,0.99
13,124.55,0,Izq,286.32,171.78,0.99,283.58,209.37,0.99
13,124.55,1,Der,219.22,164.29,0.99,224.13,204.63,1.00
13,124.55,2,Izq,350.09,183.33,0.99,348.43,214.10,0.99
13,124.55,3,Der,302.40,181.41,0.99,306.00,215.02,0.99
14,128.08,0,Der,264.09,173.12,0.99,269.28,208.41,0.99
14,128.08,1,Der,219.22,163.91,0.99,223.75,204.23,0.99
14,128.08,2,Izq,350.25,183.54,0.99,348.86,214.52,0.99
14,128.08,3,Izq,321.53,180.48,0.99,319.34,215.05,0.99
15,118.74,0,Der,263.71,172.50,0.99,269.46,207.60,0.99
15,118.74,1,Der,219.60,163.68,0.99,224.35,204.06,0.99
15,118.74,2,Izq,350.89,183.89,0.99,349.51,215.07,0.99
15,118.74,3,Izq,321.25,180.42,0.99,319.28,214.68,0.98
16,135.37,0,Der,264.37,172.45,0.99,269.91,207.58,0.99
16,135.37,1,Der,220.28,163.22,0.99,224.89,203.14,0.99
16,135.37,2,Izq,351.20,183.41,0.99,349.69,214.38,0.99
16,135.37,3,Der,302.20,180.28,0.99,306.88,214.45,0.99
17,114.40,0,Der,264.63,172.22,0.99,270.32,207.59,0.99
17,114.40,1,Der,220.71,163.44,0.99,225.27,203.39,1.00
17,114.40,2,Izq,351.47,182.93,0.99,350.01,214.07,0.99
17,114.40,3,Der,302.35,180.34,0.99,307.11,214.50,0.99
18,132.29,0,Der,264.89,172.00,0.99,270.39,207.57,0.99
18,132.29,1,Der,221.36,163.55,0.99,225.95,203.56,0.99
18,132.29,2,Izq,351.83,182.67,0.99,350.41,213.53,0.99
18,132.29,3,Der,302.21,181.09,0.99,307.56,215.00,0.99
19,132.88,0,Der,265.00,172.48,0.99,270.96,208.11,0.99
19,132.88,1,Der,221.64,162.80,0.99,226.61,203.43,1.00
19,132.88,2,Der,302.63,181.00,0.99,308.02,214.91,0.99
19,132.88,3,Izq,353.41,182.28,0.99,351.77,213.65,0.99
20,117.11,0,Der,265.35,172.37,0.99,271.14,208.36,0.99
20,117.11,1,Der,222.18,163.28,0.99,226.94,203.24,1.00
20,117.11,2,Der,302.66,181.11,0.99,308.18,215.26,0.99
20,117.11,3,Izq,353.43,181.72,0.99,351.93,213.42,0.99
21,130.43,0,Der,265.54,172.32,0.99,271.80,208.40,0.99
21,130.43,1,Der,222.42,163.04,0.99,227.21,202.76,1.00
21,130.43,2,Der,302.51,180.61,0.99,308.12,214.19,0.99
21,130.43,3,Izq,353.65,182.34,0.99,352.13,214.02,0.99
22,119.83,0,Der,265.87,172.41,0.99,272.44,208.44,0.99
22,119.83,1,Der,222.77,163.30,0.99,227.53,203.35,0.99
