frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
0,652.15,0,Der,256.40,219.62,0.99,261.60,265.12,0.99
0,652.15,1,Der,211.79,207.04,0.98,215.69,254.01,0.98
0,652.15,2,Izq,350.25,230.58,0.99,345.75,267.54,0.99
0,652.15,3,Izq,315.35,228.81,0.98,312.15,268.61,0.98
1,413.97,0,Der,256.77,219.31,0.99,262.14,265.43,0.99
1,413.97,1,Der,211.73,207.16,0.98,215.96,255.91,0.99
1,413.97,2,Izq,349.72,231.05,0.99,344.84,267.19,0.99
1,413.97,3,Izq,316.02,225.91,0.98,312.53,266.61,0.98
2,357.07,0,Der,257.71,219.46,0.99,263.43,264.34,0.99
2,357.07,1,Der,214.33,208.16,0.98,218.72,256.93,0.99
2,357.07,2,Izq,350.66,230.54,0.99,346.29,267.28,0.99
2,357.07,3,Izq,318.24,227.55,0.98,314.46,269.17,0.98
3,415.00,0,Der,258.83,219.59,0.99,264.73,265.27,0.99
3,415.00,1,Der,214.91,207.66,0.98,219.67,256.24,0.99
3,415.00,2,Izq,351.98,229.91,0.99,347.73,266.63,0.99
3,415.00,3,Izq,320.29,225.62,0.98,316.71,268.04,0.98
4,360.36,0,Der,259.49,219.92,0.99,264.99,265.75,0.99
4,360.36,1,Der,214.91,207.24,0.98,219.77,256.49,0.99
4,360.36,2,Izq,351.68,228.98,0.99,347.75,265.34,0.99
4,360.36,3,Izq,320.79,224.93,0.98,317.03,267.46,0.97
5,386.73,0,Der,259.92,219.33,0.99,265.40,264.88,0.99
5,386.73,1,Der,215.12,207.71,0.99,219.88,254.91,0.99
5,386.73,2,Izq,352.00,229.82,0.99,347.39,266.91,0.99
5,386.73,3,Izq,321.69,226.45,0.98,317.41,268.94,0.97
6,399.79,0,Der,260.25,219.23,0.99,265.93,265.16,0.99
6,399.79,1,Der,215.50,207.83,0.99,220.44,256.16,0.99
6,399.79,2,Izq,351.52,228.93,0.99,347.80,265.97,0.99
6,399.79,3,Izq,321.97,225.93,0.98,318.31,268.42,0.97
