frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
0,644.56,0,Der,253.95,291.80,0.98,259.78,353.92,0.98
0,644.56,1,Izq,349.60,306.25,0.95,344.37,354.04,0.97
0,644.56,2,Der,208.29,277.20,0.92,213.85,341.22,0.92
0,644.56,3,Izq,318.93,304.91,0.93,314.92,358.44,0.96
1,516.93,0,Der,255.83,291.93,0.97,261.21,353.12,0.97
1,516.93,1,Izq,350.58,305.76,0.98,345.71,353.86,0.98
1,516.93,2,Izq,318.19,301.21,0.93,314.52,356.39,0.94
1,516.93,3,Der,210.53,275.20,0.94,215.37,338.73,0.94
2,476.83,0,Der,256.52,291.14,0.97,262.35,352.73,0.97
2,476.83,1,Der,328.32,306.65,0.98,331.66,354.90,0.98
2,476.83,2,Der,212.67,274.73,0.95,217.37,338.90,0.95
2,476.83,3,Izq,319.24,300.49,0.94,315.37,355.96,0.95
3,472.79,0,Der,257.75,291.56,0.98,263.57,352.40,0.98
3,472.79,1,Der,328.84,307.53,0.98,333.02,355.37,0.98
3,472.79,2,Der,212.61,274.88,0.94,217.86,339.53,0.95
3,472.79,3,Izq,321.53,298.92,0.95,317.68,355.56,0.95
4,475.08,0,Der,258.17,291.12,0.97,263.63,352.11,0.98
4,475.08,1,Der,328.45,306.32,0.98,332.84,354.22,0.98
4,475.08,2,Izq,322.40,300.72,0.95,318.52,357.90,0.96
4,475.08,3,Der,213.81,274.19,0.96,218.10,338.07,0.97
5,471.18,0,Der,258.59,290.78,0.98,264.06,351.34,0.98
5,471.18,1,Der,214.51,273.43,0.95,218.41,335.58,0.97
5,471.18,2,Der,327.96,305.69,0.99,332.62,353.19,0.98
5,471.18,3,Izq,322.40,298.80,0.95,318.56,354.01,0.95
6,567.58,0,Der,259.19,290.65,0.97,264.72,351.26,0.98
6,567.58,1,Der,215.26,274.01,0.95,219.72,336.88,0.96
6,567.58,2,Der,327.81,306.01,0.98,332.99,354.29,0.98
6,567.58,3,Der,300.36,301.00,0.96,304.33,356.24,0.96
7,532.13,0,Der,259.48,290.68,0.97,264.78,351.26,0.98
7,532.13,1,Der,214.37,275.12,0.96,219.29,339.18,0.96
7,532.13,2,Der,328.01,306.15,0.99,333.35,354.01,0.98
7,532.13,3,Der,300.09,301.81,0.97,304.32,356.85,0.96
8,476.34,0,Der,259.35,290.73,0.97,264.86,351.01,0.98
8,476.34,1,Der,216.04,273.64,0.96,219.55,335.79,0.96
8,476.34,2,Izq,352.68,305.20,0.98,348.83,353.49,0.98
8,476.34,3,Der,299.93,302.69,0.97,303.70,357.04,0.96
9,469.18,0,Der,259.51,289.79,0.97,265.26,349.92,0.98
9,469.18,1,Der,216.36,273.03,0.96,219.95,335.58,0.97
9,469.18,2,Izq,351.95,305.74,0.98,348.23,354.10,0.98
9,469.18,3,Der,300.14,302.56,0.96,304.01,356.04,0.96
10,471.74,0,Der,259.62,289.32,0.97,265.60,349.71,0.98
